chengshi,yijiquyu,fangzu,huxing,chaoxiang,zhuangxiu,louceng,min_time_gongjiao,min_time_zhongxue,count_zhongxue,min_time_xiaoxue,count_xiaoxue,min_time_gaoxiao,count_gaoxiao,min_time_yiyuan,count_yiyuan,min_time_jingdian,count_jingdian,min_time_kaifang,count_kaifang,min_time_xiuxian,count_xiuxian
宜昌,伍家岗,1400,2室2厅1卫,西南,精装修,中层/共7层,10000,10000,0,10000,0,10000,0,10000,0,10000,0,10000,0,10000,0
宜昌,伍家岗,1450,1室1厅1卫,南北,精装修,中层/共30层,78,1027,0,1167,0,1366,0,936,0,236,2,236,2,1151,0
宜昌,伍家岗,2000,3室2厅2卫,东南,简单装修,高层/共11层,147,10000,0,10000,0,10000,0,10000,0,237,1,1083,0,10000,0
宜昌,西陵,1700,2室2厅1卫,东,精装修,高层/共30层,250,10000,0,10000,0,10000,0,10000,0,178,2,178,1,10000,0
宜昌,伍家岗,3700,3室2厅2卫,南北,精装修,高层/共16层,140,797,1,970,0,1094,0,664,1,489,3,489,2,930,0
宜昌,伍家岗,1600,2室2厅1卫,南北,精装修,中层/共11层,652,10000,0,332,1,10000,0,1449,0,630,2,723,2,10000,0
宜昌,伍家岗,800,1室0厅1卫,东,精装修,中层/共18层,469,356,3,477,2,360,3,844,3,928,0,732,3,1654,0
宜昌,伍家岗,1700,3室2厅2卫,南,简单装修,中层/共11层,652,10000,0,332,1,10000,0,1449,0,630,2,723,2,10000,0
宜昌,伍家岗,1500,1室1厅1卫,南北,精装修,中层/共32层,78,1027,0,1167,0,1366,0,936,0,236,2,236,2,1151,0
宜昌,伍家岗,2600,2室2厅1卫,南北,精装修,低层/共28层,369,1026,0,1612,0,10000,0,10000,0,445,3,469,4,565,1
宜昌,伍家岗,1600,3室1厅1卫,南北,精装修,低层/共7层,10000,10000,0,10000,0,10000,0,10000,0,10000,0,10000,0,10000,0
宜昌,伍家岗,1500,1室1厅1卫,南北,精装修,低层/共26层,78,1027,0,1167,0,1366,0,936,0,236,2,236,2,1151,0
宜昌,伍家岗,1400,2室1厅1卫,南北,简单装修,中层/共8层,167,193,2,226,4,10000,0,322,1,1001,0,693,4,857,1
宜昌,伍家岗,1700,2室1厅1卫,南北,精装修,中层/共7层,225,257,3,405,3,623,4,610,1,599,5,463,4,1248,0
宜昌,伍家岗,1500,1室1厅1卫,东西,精装修,中层/共19层,78,1027,0,1167,0,1366,0,936,0,236,2,236,2,1151,0
宜昌,伍家岗,1800,3室2厅2卫,南北,精装修,中层/共23层,7,1498,0,10000,0,10000,0,10000,0,871,1,1073,0,10000,0
宜昌,伍家岗,1300,2室1厅1卫,南,简单装修,中层/共7层,140,311,3,98,4,823,1,794,1,319,10,691,6,157,1
宜昌,伍家岗,1000,1室1厅1卫,南北,精装修,低层/共6层,10000,10000,0,10000,0,10000,0,10000,0,10000,0,10000,0,10000,0
宜昌,伍家岗,500,1室0厅1卫,南,简单装修,共3层,10000,10000,0,10000,0,10000,0,10000,0,10000,0,10000,0,10000,0
宜昌,伍家岗,1800,2室2厅1卫,南,精装修,高层/共30层,24,1701,0,10000,0,10000,0,10000,0,1543,0,1437,0,10000,0
宜昌,伍家岗,800,1室0厅1卫,东,精装修,高层/共32层,78,1027,0,1167,0,1366,0,936,0,236,2,236,2,1151,0
宜昌,伍家岗,1888,2室1厅1卫,南北,精装修,中层/共8层,410,815,2,427,3,1298,0,813,1,238,9,134,17,146,3
宜昌,伍家岗,1600,2室1厅2卫,南北,精装修,低层/共17层,223,10000,0,10000,0,10000,0,10000,0,730,1,957,0,10000,0
宜昌,伍家岗,600,1室1厅1卫,东,暂无信息,高层/共6层,249,10000,0,10000,0,930,0,502,1,656,1,259,2,10000,0
宜昌,伍家岗,1600,2室1厅1卫,南,精装修,中层/共6层,387,2497,0,10000,0,10000,0,10000,0,641,1,646,4,559,1
宜昌,伍家岗,1900,1室1厅1卫,南,精装修,中层/共17层,143,663,3,135,2,10000,0,1327,0,455,3,307,6,785,1
宜昌,伍家岗,800,1室0厅1卫,南,精装修,中层/共8层,51,190,4,150,4,903,0,825,2,399,15,513,7,56,1
宜昌,伍家岗,1700,3室1厅1卫,南,简单装修,中层/共6层,10000,10000,0,10000,0,10000,0,10000,0,10000,0,10000,0,10000,0
宜昌,伍家岗,1000,2室1厅1卫,南北,简单装修,中层/共7层,229,671,4,525,1,649,3,55,4,250,4,576,5,622,1
宜昌,伍家岗,1000,1室0厅1卫,南北,精装修,高层/共32层,78,1027,0,1167,0,1366,0,936,0,236,2,236,2,1151,0
宜昌,伍家岗,1500,2室2厅1卫,南北,精装修,中层/共18层,503,1582,0,10000,0,10000,0,541,2,659,1,782,2,782,1
宜昌,伍家岗,4970,1室1厅1卫,南,精装修,高层/共30层,10000,10000,0,10000,0,10000,0,10000,0,10000,0,10000,0,10000,0
宜昌,伍家岗,1300,1室1厅1卫,南北,精装修,中层/共12层,26,43,4,529,3,528,5,819,1,283,4,227,5,932,0
宜昌,伍家岗,5000,2室1厅1卫,南,豪华装修,高层/共30层,137,701,5,175,3,860,2,132,3,191,9,335,5,687,1
宜昌,伍家岗,1400,2室2厅1卫,南,豪华装修,低层/共25层,329,10000,0,10000,0,10000,0,10000,0,2021,0,1029,0,10000,0
宜昌,伍家岗,1000,2室2厅1卫,南北,简单装修,中层/共7层,165,137,2,226,1,10000,0,1012,0,371,2,334,4,1440,0
宜昌,伍家岗,5500,3室2厅2卫,南北,精装修,高层/共25层,137,701,5,175,3,860,2,132,3,191,9,335,5,687,1
宜昌,伍家岗,1800,2室1厅1卫,南,简单装修,中层/共8层,13,385,3,871,1,475,2,1086,0,278,5,220,11,971,0
宜昌,伍家岗,800,1室0厅1卫,东,精装修,中层/共33层,137,701,5,175,3,860,2,132,3,191,9,335,5,687,1
宜昌,伍家岗,800,1室0厅1卫,南北,精装修,共5层,225,257,3,405,3,623,4,610,1,599,5,463,4,1248,0
宜昌,伍家岗,900,1室0厅1卫,南北,精装修,高层/共8层,15,89,4,574,3,482,5,864,1,238,5,181,5,887,1
宜昌,伍家岗,1300,1室1厅1卫,南北,精装修,中层/共34层,137,701,5,175,3,860,2,132,3,191,9,335,5,687,1
宜昌,伍家岗,1300,1室1厅1卫,南北,精装修,低层/共27层,78,1027,0,1167,0,1366,0,936,0,236,2,236,2,1151,0
宜昌,伍家岗,600,1室1厅1卫,南,简单装修,低层/共7层,309,573,2,623,1,112,1,0,4,545,5,410,6,524,1
宜昌,伍家岗,1600,3室2厅1卫,东南,精装修,中层/共7层,139,505,3,787,1,10000,0,164,2,303,3,652,3,126,1
宜昌,伍家岗,600,1室0厅1卫,南北,简单装修,高层/共8层,120,856,1,1941,0,10000,0,397,2,479,1,164,3,164,1
宜昌,伍家岗,1500,2室1厅1卫,南,精装修,高层/共30层,147,10000,0,10000,0,10000,0,10000,0,237,1,1083,0,10000,0
