chengshi,yijiquyu,fangzu,mianji,huxing,chaoxiang,zhuangxiu,louceng,xiaoqumingcheng,bd_lat,bd_lon,wgs_lat,wgs_lon,gcj_lon,gcj_lat,amaplonlat
宜昌,伍家岗,2500,95㎡,3室2厅1卫,南,简单装修,低层/共32层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,3000,114㎡,3室2厅2卫,南北,精装修,高层/共31层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2300,130㎡,3室2厅2卫,南,简单装修,低层/共6层,万寿花园,30.681955420774173,111.32078618643278,30.678605996658046,111.3085043499122,111.31423302510849,30.67620415295888,"111.31423302510849,30.67620415295888"
宜昌,伍家岗,2299,90㎡,2室2厅1卫,南,精装修,中层/共30层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2499,100㎡,2室2厅1卫,南,精装修,低层/共14层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2100,60㎡,2室1厅1卫,南北,精装修,高层/共33层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2899,95㎡,2室2厅1卫,南北,精装修,低层/共25层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2999,120㎡,3室2厅1卫,南,精装修,高层/共30层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2000,80㎡,2室1厅1卫,南,简单装修,高层/共14层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2399,50㎡,2室2厅1卫,南北,精装修,低层/共29层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2500,105㎡,3室2厅1卫,南,精装修,低层/共7层,万寿花园,30.681955420774173,111.32078618643278,30.678605996658046,111.3085043499122,111.31423302510849,30.67620415295888,"111.31423302510849,30.67620415295888"
宜昌,伍家岗,2299,90㎡,2室2厅1卫,南北,豪华装修,高层/共15层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,800,30㎡,2室1厅1卫,南北,精装修,中层/共32层,宜化新天地,30.664192903049162,111.35554504017476,30.66025668140858,111.34329541895701,111.34912047233851,30.657911817581795,"111.34912047233851,30.657911817581795"
宜昌,伍家岗,2700,85㎡,2室2厅1卫,南北,精装修,低层/共32层,江山多娇(四期),30.64878670653756,111.35335389337482,30.644880025627785,111.34109193435525,111.346909769771,30.64252456284774,"111.346909769771,30.64252456284774"
宜昌,伍家岗,2300,55㎡,1室1厅1卫,南北,精装修,低层/共33层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,500,16㎡,1室0厅1卫,南,简单装修,低层/共7层,万寿花园,30.681955420774173,111.32078618643278,30.678605996658046,111.3085043499122,111.31423302510849,30.67620415295888,"111.31423302510849,30.67620415295888"
宜昌,伍家岗,2000,80㎡,2室1厅1卫,南,简单装修,高层/共14层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2600,100㎡,2室2厅1卫,南北,精装修,中层/共32层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2199,50㎡,2室1厅1卫,南,精装修,中层/共14层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2100,100㎡,2室1厅1卫,南北,精装修,高层/共19层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,3000,106㎡,3室2厅1卫,南,精装修,高层/共33层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,1600,88㎡,2室2厅1卫,南,精装修,中层/共6层,万寿花园,30.681955420774173,111.32078618643278,30.678605996658046,111.3085043499122,111.31423302510849,30.67620415295888,"111.31423302510849,30.67620415295888"
宜昌,伍家岗,1300,50㎡,2室1厅1卫,东南,简单装修,高层/共13层,白沙大厦,30.651354966523083,111.3702635064641,30.64735069547184,111.3579802317088,111.36384028328258,30.645023658975735,"111.36384028328258,30.645023658975735"
宜昌,伍家岗,3499,150㎡,4室2厅2卫,南,精装修,中层/共30层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2100,88㎡,2室2厅1卫,南北,精装修,中层/共14层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2499,70㎡,2室1厅1卫,南北,精装修,低层/共14层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,1100,70㎡,2室1厅1卫,南北,简单装修,中层/共7层,万寿花园,30.681955420774173,111.32078618643278,30.678605996658046,111.3085043499122,111.31423302510849,30.67620415295888,"111.31423302510849,30.67620415295888"
宜昌,伍家岗,3500,150㎡,4室2厅2卫,南北,精装修,中层/共32层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,1800,40㎡,2室1厅1卫,南,精装修,低层/共30层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,3200,128㎡,3室2厅2卫,南,精装修,中层/共30层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,1800,100㎡,2室2厅2卫,南北,精装修,中层/共33层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,2299,95㎡,2室2厅1卫,南北,豪华装修,中层/共14层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
宜昌,伍家岗,1800,89㎡,2室2厅1卫,南北,精装修,高层/共14层,恒大帝景,30.687914553921857,111.32804287800349,30.68444800231214,111.31577121039933,111.32152101668413,30.68206249730133,"111.32152101668413,30.68206249730133"
