zongjia,quwei,mianji,shi,ting,wei,chaoxiang,zhuangxiu,louceng,min_time_gongjiao,min_time_zhongxue,count_zhongxue,min_time_xiaoxue,count_xiaoxue,count_gaoxiao,count_yiyuan,min_time_jingdian,count_jingdian,min_time_kaifang,count_kaifang,count_xiuxian
50,1,120,3,2,2,2,2,1,605,556,1,834,1,0,1,1047,0,1113,0,0
18,1,58,2,2,1,2,2,3,246,1046,0,1268,0,0,0,686,1,414,10,0
45,1,120,3,2,2,2,3,2,597,1066,0,795,1,0,0,1317,0,585,2,0
65,1,112,6,3,3,2,3,1,556,807,1,836,1,0,0,1115,0,722,4,0
52,1,120,3,2,2,2,3,3,597,1066,0,795,1,0,0,1317,0,585,2,0
25,1,90,3,2,1,2,3,3,69,591,3,563,1,0,1,394,6,291,14,1
53,1,117,3,2,1,2,3,3,230,873,1,1311,0,0,1,405,2,197,10,0
55,1,79,2,1,1,2,3,3,203,724,5,453,1,0,0,754,3,747,8,3
54,1,106,3,2,2,2,3,3,138,1239,0,913,0,0,1,787,1,434,3,0
55,1,80,2,2,1,2,3,3,133,269,5,461,1,0,0,413,5,413,7,3
66,1,127,3,2,2,2,3,2,102,1233,0,772,1,0,1,253,6,224,5,0
20,1,49,1,1,1,2,3,3,76,456,3,580,1,0,1,296,6,296,4,0
25,1,60,2,2,1,2,2,3,100,6,3,642,2,0,1,1,9,192,15,3
30,1,101,3,2,1,2,2,3,110,173,7,297,2,0,1,222,7,18,11,3
39,1,80,2,2,1,2,1,2,283,1137,0,588,1,0,1,400,5,493,4,0
65,1,138,3,2,2,2,3,2,331,1418,0,1105,0,0,1,482,2,364,3,0
53,1,115,3,2,2,1,1,1,203,724,5,453,1,0,0,754,3,747,8,3
68,1,129,3,2,2,2,3,1,138,1239,0,913,0,0,1,787,1,434,3,0
42,1,127,3,2,2,2,3,3,422,778,2,834,1,0,0,1097,0,410,6,0
68,1,126,3,2,2,2,1,3,124,282,7,346,2,0,1,316,7,34,11,3
58,1,100,4,3,2,2,3,1,681,915,0,1381,0,0,0,905,0,1317,0,0
85,1,119,3,2,2,2,3,2,124,282,7,346,2,0,1,316,7,34,11,3
38,1,98,3,2,1,2,3,2,260,603,2,902,0,0,1,924,0,185,2,0
40,1,128,3,2,2,2,1,2,110,523,4,813,1,0,1,81,5,87,15,3
42,1,92,2,2,1,2,1,2,556,807,1,836,1,0,0,1115,0,722,4,0
56,1,106,3,2,2,2,3,3,138,1239,0,913,0,0,1,787,1,434,3,0
68,1,125,3,2,2,2,3,1,136,1242,0,366,1,0,1,483,3,857,1,0
23,1,61,2,2,1,2,3,1,89,217,4,401,2,0,2,377,6,384,8,3
48,1,122,3,2,2,2,1,2,89,217,4,401,2,0,2,377,6,384,8,3
49,1,109,3,2,2,2,1,2,264,584,1,861,1,0,1,1004,0,1318,0,0
100,1,151,4,2,2,2,3,1,102,1233,0,772,1,0,1,253,6,224,5,0
42,1,127,3,2,2,2,3,3,422,778,2,834,1,0,0,1097,0,410,6,0
92,1,150,4,2,2,2,3,3,136,1242,0,366,1,0,1,483,3,857,1,0
42,1,118,3,2,1,2,2,2,260,603,2,902,0,0,1,924,0,185,2,0
65,1,137,3,2,2,2,3,2,331,1418,0,1105,0,0,1,482,2,364,3,0
48,1,125,3,2,2,2,3,1,246,1046,0,1268,0,0,0,686,1,414,10,0
50,1,138,3,2,2,2,3,2,11,460,3,158,1,0,2,109,6,384,12,3
38,1,102,2,2,1,2,3,1,597,1066,0,795,1,0,0,1317,0,585,2,0
45,1,90,2,2,1,2,3,1,260,603,2,902,0,0,1,924,0,185,2,0
23,1,78,2,2,1,2,2,2,127,482,2,517,2,0,1,921,0,715,4,2
45,1,90,2,2,1,2,3,1,260,603,2,902,0,0,1,924,0,185,2,0
41,1,94,2,2,1,2,3,2,597,1066,0,795,1,0,0,1317,0,585,2,0
52,1,120,4,2,2,2,1,3,300,814,1,498,1,0,0,926,0,592,6,3
53,1,117,3,2,1,2,1,3,113,291,1,663,1,0,0,886,1,275,3,0
50,1,102,3,2,1,2,2,1,681,915,0,1381,0,0,0,905,0,1317,0,0
54,1,79,2,2,1,2,3,3,203,724,5,453,1,0,0,754,3,747,8,3
47,1,90,2,2,1,2,3,2,556,807,1,836,1,0,0,1115,0,722,4,0
135,1,320,7,4,7,2,3,1,203,724,5,453,1,0,0,754,3,747,8,3
68,1,143,4,3,2,2,3,2,69,591,3,563,1,0,1,394,6,291,14,1
60,1,126,3,2,2,2,3,1,597,1066,0,795,1,0,0,1317,0,585,2,0
43,1,93,2,2,1,2,3,3,597,1066,0,795,1,0,0,1317,0,585,2,0
62,1,116,3,2,2,2,3,1,556,807,1,836,1,0,0,1115,0,722,4,0
52,1,80,2,2,1,2,3,2,203,724,5,453,1,0,0,754,3,747,8,3
76,1,130,3,2,2,2,3,2,113,291,1,663,1,0,0,886,1,275,3,0
49,1,119,3,2,2,2,3,3,597,1066,0,795,1,0,0,1317,0,585,2,0
45,1,92,3,2,1,2,3,3,251,475,3,587,1,0,0,794,1,444,6,3
65,1,128,3,2,2,2,3,2,102,1233,0,772,1,0,1,253,6,224,5,0
27,1,90,3,2,1,1,3,3,124,366,4,349,1,0,1,627,3,348,7,3
38,1,91,2,2,1,2,3,1,597,1066,0,795,1,0,0,1317,0,585,2,0
85,1,118,3,2,2,2,4,1,203,724,5,453,1,0,0,754,3,747,8,3
46,1,93,3,2,1,2,2,3,133,269,5,461,1,0,0,413,5,413,7,3
28,1,90,2,2,1,2,2,2,11,460,3,158,1,0,2,109,6,384,12,3
57,1,89,2,2,1,2,3,3,113,291,1,663,1,0,0,886,1,275,3,0
56,1,89,2,2,1,2,3,1,136,1242,0,366,1,0,1,483,3,857,1,0
19,1,67,2,1,1,2,2,2,14,496,2,620,1,0,1,388,6,329,4,0
58,1,183,6,3,3,2,3,1,158,197,2,684,1,0,1,188,8,0,16,3
55,1,126,3,2,2,2,3,2,127,482,2,517,2,0,1,921,0,715,4,2
26,1,58,2,1,1,2,3,2,14,496,2,620,1,0,1,388,6,329,4,0
50,1,92,3,1,1,2,3,1,219,742,5,386,1,0,0,760,3,728,8,3
55,1,80,2,2,1,2,3,3,203,724,5,453,1,0,0,754,3,747,8,3
