zongjia,quwei,mianji,shi,ting,wei,chaoxiang,zhuangxiu,louceng,min_time_gongjiao,min_time_zhongxue,count_zhongxue,min_time_xiaoxue,count_xiaoxue,count_gaoxiao,count_yiyuan,min_time_jingdian,count_jingdian,min_time_kaifang,count_kaifang,count_xiuxian
1600,2,70,2,1,1,2,3,3,213,451,1,640,1,0,0,226,2,347,4,0
1500,2,75,3,2,1,2,3,1,760,1393,0,1772,0,0,1,909,0,1004,0,0
2300,2,140,3,2,1,2,2,2,213,451,1,640,1,0,0,226,2,347,4,0
1350,2,58,3,1,1,2,2,2,229,671,4,525,1,3,4,250,4,576,5,1
800,2,30,1,1,1,2,3,1,309,573,2,623,1,1,4,545,5,410,6,1
1500,2,40,1,1,1,1,3,3,78,1027,0,1167,0,0,0,236,2,236,2,0
999,2,25,1,0,1,2,3,1,78,1027,0,1167,0,0,0,236,2,236,2,0
100,2,80,2,2,1,2,3,1,309,573,2,623,1,1,4,545,5,410,6,1
1600,2,58,2,1,1,2,3,3,167,193,2,226,4,0,1,1001,0,693,4,1
1400,2,40,1,1,1,2,2,1,26,43,4,529,3,5,1,283,4,227,5,0
1000,2,30,1,1,1,2,3,3,469,356,3,477,2,3,3,928,0,732,3,0
800,2,25,1,0,1,2,3,1,137,701,5,175,3,2,3,191,9,335,5,1
1450,2,52,1,1,1,2,3,2,78,1027,0,1167,0,0,0,236,2,236,2,0
3700,2,130,3,2,2,2,3,3,140,797,1,970,0,0,1,489,3,489,2,0
800,2,30,1,0,1,1,3,2,469,356,3,477,2,3,3,928,0,732,3,0
1500,2,58,1,1,1,2,3,2,78,1027,0,1167,0,0,0,236,2,236,2,0
2600,2,90,2,2,1,2,3,1,369,1026,0,1612,0,0,0,445,3,469,4,1
1500,2,42,1,1,1,2,3,1,78,1027,0,1167,0,0,0,236,2,236,2,0
1400,2,90,2,1,1,2,2,2,167,193,2,226,4,0,1,1001,0,693,4,1
1700,2,210,2,1,1,2,3,2,225,257,3,405,3,4,1,599,5,463,4,0
1500,2,40,1,1,1,1,3,2,78,1027,0,1167,0,0,0,236,2,236,2,0
1300,2,55,2,1,1,2,2,2,140,311,3,98,4,1,1,319,10,691,6,1
800,2,20,1,0,1,1,3,3,78,1027,0,1167,0,0,0,236,2,236,2,0
1888,2,80,2,1,1,2,3,2,410,815,2,427,3,0,1,238,9,134,17,3
1900,2,69,1,1,1,2,3,2,143,663,3,135,2,0,0,455,3,307,6,1
800,2,120,1,0,1,2,3,2,51,190,4,150,4,0,2,399,15,513,7,1
1000,2,60,2,1,1,2,2,2,229,671,4,525,1,3,4,250,4,576,5,1
1000,2,28,1,0,1,2,3,3,78,1027,0,1167,0,0,0,236,2,236,2,0
1300,2,50,1,1,1,2,3,2,26,43,4,529,3,5,1,283,4,227,5,0
5000,2,115,2,1,1,2,4,3,137,701,5,175,3,2,3,191,9,335,5,1
1000,2,70,2,2,1,2,2,2,165,137,2,226,1,0,0,371,2,334,4,0
5500,2,158,3,2,2,2,3,3,137,701,5,175,3,2,3,191,9,335,5,1
1800,2,75,2,1,1,2,2,2,13,385,3,871,1,2,0,278,5,220,11,0
800,2,25,1,0,1,1,3,2,137,701,5,175,3,2,3,191,9,335,5,1
800,2,30,1,0,1,2,3,1,225,257,3,405,3,4,1,599,5,463,4,0
900,2,20,1,0,1,2,3,3,15,89,4,574,3,5,1,238,5,181,5,1
1300,2,35,1,1,1,2,3,2,137,701,5,175,3,2,3,191,9,335,5,1
1300,2,37,1,1,1,2,3,1,78,1027,0,1167,0,0,0,236,2,236,2,0
600,2,30,1,1,1,2,2,1,309,573,2,623,1,1,4,545,5,410,6,1
1600,2,88,3,2,1,2,3,2,139,505,3,787,1,0,2,303,3,652,3,1
600,2,15,1,0,1,2,2,3,120,856,1,1941,0,0,2,479,1,164,3,1
1500,2,88,2,2,1,2,3,2,15,353,3,839,2,4,0,285,5,188,11,0
1700,2,80,2,1,1,2,3,2,225,257,3,405,3,4,1,599,5,463,4,0
1800,2,115,3,2,1,2,2,2,90,641,5,621,3,4,5,484,7,147,8,1
1500,2,88,3,2,1,2,2,1,309,573,2,623,1,1,4,545,5,410,6,1
